packet_index,uid,psn,src_rank,dst_rank,payload_bytes,source_tx_us,switch_rx_us,switch_tx_us,dest_rx_us,source_to_switch_ns,switch_dwell_ns,switch_to_dest_ns,forward_e2e_ns,evidence
0,552,136,0,1,4096,51.203,51.307,51.317,51.42,104,10,103,217,ns3_per_hop_packet_trace
1,554,137,0,1,4096,51.287,51.39,51.4,51.504,103,10,104,217,ns3_per_hop_packet_trace
2,556,138,0,1,4096,51.37,51.474,51.484,51.587,104,10,103,217,ns3_per_hop_packet_trace
3,558,139,0,1,4096,51.454,51.557,51.567,51.671,103,10,104,217,ns3_per_hop_packet_trace
4,564,140,0,1,4096,51.54,51.643,51.662,51.765,103,19,103,225,ns3_per_hop_packet_trace
5,566,141,0,1,4096,51.623,51.727,51.745,51.849,104,18,104,226,ns3_per_hop_packet_trace
6,572,142,0,1,4096,51.709,51.813,51.84,51.944,104,27,104,235,ns3_per_hop_packet_trace
7,574,143,0,1,4096,51.793,51.896,51.924,52.027,103,28,103,234,ns3_per_hop_packet_trace
8,580,144,0,1,4096,51.879,51.982,52.027,52.131,103,45,104,252,ns3_per_hop_packet_trace
9,582,145,0,1,4096,51.962,52.066,52.111,52.214,104,45,103,252,ns3_per_hop_packet_trace
10,588,146,0,1,4096,52.048,52.151,52.214,52.318,103,63,104,270,ns3_per_hop_packet_trace
11,590,147,0,1,4096,52.131,52.235,52.298,52.401,104,63,103,270,ns3_per_hop_packet_trace
12,596,148,0,1,4096,52.217,52.321,52.401,52.504,104,80,103,287,ns3_per_hop_packet_trace
13,598,149,0,1,4096,52.301,52.404,52.484,52.588,103,80,104,287,ns3_per_hop_packet_trace
14,600,150,0,1,4096,52.384,52.488,52.568,52.671,104,80,103,287,ns3_per_hop_packet_trace
15,606,151,0,1,4096,52.47,52.574,52.671,52.775,104,97,104,305,ns3_per_hop_packet_trace
16,608,152,0,1,4096,52.554,52.657,52.755,52.858,103,98,103,304,ns3_per_hop_packet_trace
17,614,153,0,1,4096,52.64,52.743,52.858,52.962,103,115,104,322,ns3_per_hop_packet_trace
18,616,154,0,1,4096,52.723,52.827,52.942,53.045,104,115,103,322,ns3_per_hop_packet_trace
19,622,155,0,1,4096,52.809,52.913,53.045,53.149,104,132,104,340,ns3_per_hop_packet_trace
20,624,156,0,1,4096,52.893,52.996,53.129,53.232,103,133,103,339,ns3_per_hop_packet_trace
21,630,157,0,1,4096,52.979,53.082,53.232,53.336,103,150,104,357,ns3_per_hop_packet_trace
22,632,158,0,1,4096,53.062,53.166,53.316,53.419,104,150,103,357,ns3_per_hop_packet_trace
23,636,159,0,1,4096,53.147,53.25,53.409,53.513,103,159,104,366,ns3_per_hop_packet_trace
24,638,160,0,1,4096,53.23,53.334,53.493,53.596,104,159,103,366,ns3_per_hop_packet_trace
25,644,161,0,1,4096,53.316,53.42,53.596,53.7,104,176,104,384,ns3_per_hop_packet_trace
26,646,162,0,1,4096,53.4,53.503,53.68,53.783,103,177,103,383,ns3_per_hop_packet_trace
27,652,163,0,1,4096,53.486,53.589,53.793,53.897,103,204,104,411,ns3_per_hop_packet_trace
28,654,164,0,1,4096,53.569,53.673,53.877,53.98,104,204,103,411,ns3_per_hop_packet_trace
29,662,165,0,1,4096,53.655,53.759,53.98,54.084,104,221,104,429,ns3_per_hop_packet_trace
30,664,166,0,1,4096,53.739,53.842,54.064,54.167,103,222,103,428,ns3_per_hop_packet_trace
31,670,167,0,1,4096,53.825,53.928,54.167,54.271,103,239,104,446,ns3_per_hop_packet_trace
32,672,168,0,1,4096,53.908,54.012,54.251,54.354,104,239,103,446,ns3_per_hop_packet_trace
33,680,169,0,1,4096,53.995,54.099,54.354,54.458,104,255,104,463,ns3_per_hop_packet_trace
34,682,170,0,1,4096,54.079,54.182,54.438,54.541,103,256,103,462,ns3_per_hop_packet_trace
35,684,171,0,1,4096,54.162,54.266,54.521,54.625,104,255,104,463,ns3_per_hop_packet_trace
36,690,172,0,1,4096,54.248,54.351,54.625,54.728,103,274,103,480,ns3_per_hop_packet_trace
37,692,173,0,1,4096,54.331,54.435,54.708,54.811,104,273,103,480,ns3_per_hop_packet_trace
38,698,174,0,1,4096,54.417,54.521,54.811,54.915,104,290,104,498,ns3_per_hop_packet_trace
39,700,175,0,1,4096,54.501,54.604,54.895,54.998,103,291,103,497,ns3_per_hop_packet_trace
40,706,176,0,1,4096,54.587,54.69,54.998,55.102,103,308,104,515,ns3_per_hop_packet_trace
41,708,177,0,1,4096,54.67,54.774,55.082,55.185,104,308,103,515,ns3_per_hop_packet_trace
42,714,178,0,1,4096,54.756,54.86,55.185,55.289,104,325,104,533,ns3_per_hop_packet_trace
43,716,179,0,1,4096,54.84,54.943,55.269,55.372,103,326,103,532,ns3_per_hop_packet_trace
44,722,180,0,1,4096,54.926,55.029,55.372,55.476,103,343,104,550,ns3_per_hop_packet_trace
45,724,181,0,1,4096,55.009,55.113,55.456,55.559,104,343,103,550,ns3_per_hop_packet_trace
46,730,182,0,1,4096,55.095,55.199,55.559,55.663,104,360,104,568,ns3_per_hop_packet_trace
47,732,183,0,1,4096,55.179,55.282,55.643,55.746,103,361,103,567,ns3_per_hop_packet_trace
48,735,184,0,1,4096,55.263,55.367,55.736,55.84,104,369,104,577,ns3_per_hop_packet_trace
49,738,185,0,1,4096,55.347,55.45,55.82,55.923,103,370,103,576,ns3_per_hop_packet_trace
50,744,186,0,1,4096,55.433,55.536,55.923,56.027,103,387,104,594,ns3_per_hop_packet_trace
51,746,187,0,1,4096,55.516,55.62,56.007,56.11,104,387,103,594,ns3_per_hop_packet_trace
52,752,188,0,1,4096,55.602,55.706,56.11,56.214,104,404,104,612,ns3_per_hop_packet_trace
53,754,189,0,1,4096,55.686,55.789,56.194,56.297,103,405,103,611,ns3_per_hop_packet_trace
54,760,190,0,1,4096,55.772,55.875,56.297,56.401,103,422,104,629,ns3_per_hop_packet_trace
55,762,191,0,1,4096,55.855,55.959,56.381,56.484,104,422,103,629,ns3_per_hop_packet_trace
56,768,192,0,1,4096,55.941,56.045,56.484,56.588,104,439,104,647,ns3_per_hop_packet_trace
57,770,193,0,1,4096,56.025,56.128,56.568,56.671,103,440,103,646,ns3_per_hop_packet_trace
58,777,194,0,1,4096,56.111,56.214,56.671,56.775,103,457,104,664,ns3_per_hop_packet_trace
59,778,195,0,1,4096,56.194,56.298,56.755,56.858,104,457,103,664,ns3_per_hop_packet_trace
60,780,196,0,1,4096,56.278,56.381,56.838,56.942,103,457,104,664,ns3_per_hop_packet_trace
61,786,197,0,1,4096,56.364,56.467,56.942,57.045,103,475,103,681,ns3_per_hop_packet_trace
