event_id,resource_id,start_us,end_us,duration_us,op,src,dst,bytes,evidence
ns3-flow-00,NIC0,0.001,76.56952,76.56852,URMA_WRITE task 0,0,1,524288,ns3_simulated_flow_duration
ns3-flow-01,NIC0,0.002,76.56952,76.56752,URMA_WRITE task 1,0,2,524288,ns3_simulated_flow_duration
ns3-flow-02,NIC0,0.003,77.13038,77.12738,URMA_WRITE task 2,0,3,524288,ns3_simulated_flow_duration
ns3-flow-03,NIC0,0.16896,76.60354,76.43458,URMA_WRITE task 3,0,4,524288,ns3_simulated_flow_duration
ns3-flow-04,NIC0,0.25244,76.56524,76.3128,URMA_WRITE task 4,0,5,524288,ns3_simulated_flow_duration
ns3-flow-05,NIC0,0.33592,76.57532,76.2394,URMA_WRITE task 5,0,6,524288,ns3_simulated_flow_duration
ns3-flow-06,NIC0,0.6748,76.78,76.1052,URMA_WRITE task 6,0,7,524288,ns3_simulated_flow_duration
ns3-flow-07,NIC1,0.001,76.5279,76.5269,URMA_WRITE task 7,1,0,524288,ns3_simulated_flow_duration
ns3-flow-08,NIC1,0.002,76.5225,76.5205,URMA_WRITE task 8,1,2,524288,ns3_simulated_flow_duration
ns3-flow-09,NIC1,0.003,77.12914,77.12614,URMA_WRITE task 9,1,3,524288,ns3_simulated_flow_duration
ns3-flow-10,NIC1,0.16896,76.62192,76.45296,URMA_WRITE task 10,1,4,524288,ns3_simulated_flow_duration
ns3-flow-11,NIC1,0.25244,76.49072,76.23828,URMA_WRITE task 11,1,5,524288,ns3_simulated_flow_duration
ns3-flow-12,NIC1,0.33592,76.6077,76.27178,URMA_WRITE task 12,1,6,524288,ns3_simulated_flow_duration
ns3-flow-13,NIC1,0.6748,76.7756,76.1008,URMA_WRITE task 13,1,7,524288,ns3_simulated_flow_duration
ns3-flow-14,NIC2,0.6748,76.58228,75.90748,URMA_WRITE task 14,2,0,524288,ns3_simulated_flow_duration
ns3-flow-15,NIC2,0.001,76.57076,76.56976,URMA_WRITE task 15,2,1,524288,ns3_simulated_flow_duration
ns3-flow-16,NIC2,0.002,77.10828,77.10628,URMA_WRITE task 16,2,3,524288,ns3_simulated_flow_duration
ns3-flow-17,NIC2,0.003,76.62316,76.62016,URMA_WRITE task 17,2,4,524288,ns3_simulated_flow_duration
ns3-flow-18,NIC2,0.16896,76.57408,76.40512,URMA_WRITE task 18,2,5,524288,ns3_simulated_flow_duration
ns3-flow-19,NIC2,0.25244,76.57408,76.32164,URMA_WRITE task 19,2,6,524288,ns3_simulated_flow_duration
