nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.21896,77.17536,3799858,395.01
0,0,Tx,0.001,76.53958,3803970,397.6
1,0,Rx,0.21896,77.17336,3799858,395.02
1,0,Tx,0.001,76.71466,3803970,396.69
2,0,Rx,0.21896,77.15324,3799858,395.13
2,0,Tx,0.001,77.0436,3803970,395.0
3,0,Rx,0.21896,77.1843,3799858,394.97
3,0,Tx,0.001,77.12188,3803970,394.6
4,0,Rx,0.21896,77.16434,3799858,395.07
4,0,Tx,0.001,76.6126,3803970,397.22
5,0,Rx,0.21896,77.14524,3799858,395.17
5,0,Tx,0.001,76.78968,3803970,396.31
6,0,Rx,0.21896,77.14724,3799858,395.16
6,0,Tx,0.001,76.87316,3803970,395.87
7,0,Rx,0.30244,77.15904,3799858,395.53
7,0,Tx,0.001,77.13082,3803970,394.55
8,0,Rx,0.10448,76.56082,3799858,397.6
8,0,Tx,0.11548,77.15412,3803970,395.02
8,1,Rx,0.10448,76.7359,3799858,396.69
8,1,Tx,0.11548,77.15212,3803970,395.03
8,2,Rx,0.10448,77.06484,3799858,394.99
8,2,Tx,0.11548,77.132,3803970,395.13
8,3,Rx,0.10448,77.14312,3799858,394.59
8,3,Tx,0.11548,77.16306,3803970,394.97
8,4,Rx,0.10448,76.63384,3799858,397.22
8,4,Tx,0.11548,77.1431,3803970,395.08
8,5,Rx,0.10448,76.81092,3799858,396.3
8,5,Tx,0.11548,77.124,3803970,395.17
8,6,Rx,0.10448,76.8944,3799858,395.87
8,6,Tx,0.11548,77.126,3803970,395.16
8,7,Rx,0.10448,77.15206,3799858,394.55
8,7,Tx,0.19896,77.1378,3803970,395.53
